	bell 7k5 sharp		
115.722656	-24.65	-174.62	1.00
117.187500	-24.65	-174.46	1.00
118.652344	-24.65	-174.50	1.00
120.117188	-24.66	-174.60	1.00
121.582031	-24.65	-174.51	1.00
123.046875	-24.67	-174.36	1.00
124.511719	-24.65	-174.25	1.00
125.976562	-24.65	-174.29	1.00
127.441406	-24.65	-174.19	1.00
128.906250	-24.65	-174.17	1.00
130.371094	-24.65	-174.14	1.00
131.835938	-24.65	-174.15	1.00
133.300781	-24.65	-174.14	1.00
134.765625	-24.64	-174.12	1.00
136.230469	-24.63	-174.05	1.00
137.695312	-24.63	-173.87	1.00
139.160156	-24.62	-173.78	1.00
140.625000	-24.63	-173.74	1.00
143.554688	-24.63	-173.70	1.00
146.484375	-24.61	-173.60	1.00
149.414062	-24.63	-173.45	1.00
152.343750	-24.62	-173.38	1.00
155.273438	-24.61	-173.37	1.00
158.203125	-24.61	-173.14	1.00
161.132812	-24.62	-173.06	1.00
164.062500	-24.61	-173.00	1.00
166.992188	-24.62	-173.11	1.00
169.921875	-24.62	-172.73	1.00
172.851562	-24.62	-172.67	1.00
175.781250	-24.60	-172.60	1.00
178.710938	-24.60	-172.49	1.00
181.640625	-24.60	-172.40	1.00
184.570312	-24.58	-172.29	1.00
187.500000	-24.59	-172.22	1.00
190.429688	-24.58	-172.12	1.00
193.359375	-24.58	-171.85	1.00
196.289062	-24.58	-171.91	1.00
199.218750	-24.59	-171.71	1.00
202.148438	-24.58	-171.66	1.00
205.078125	-24.57	-171.57	1.00
208.007812	-24.57	-171.42	1.00
210.937500	-24.56	-171.38	1.00
213.867188	-24.56	-171.24	1.00
216.796875	-24.56	-171.12	1.00
219.726562	-24.55	-171.09	1.00
222.656250	-24.52	-171.05	1.00
225.585938	-24.54	-170.90	1.00
228.515625	-24.52	-170.84	1.00
231.445312	-24.52	-170.59	1.00
234.375000	-24.52	-170.54	1.00
237.304688	-24.52	-170.46	1.00
240.234375	-24.52	-170.32	1.00
243.164062	-24.52	-170.18	1.00
246.093750	-24.52	-170.11	1.00
249.023438	-24.51	-169.93	1.00
251.953125	-24.50	-169.87	1.00
254.882812	-24.50	-169.77	1.00
257.812500	-24.49	-169.75	1.00
260.742188	-24.49	-169.67	1.00
263.671875	-24.49	-169.50	1.00
266.601562	-24.49	-169.54	1.00
269.531250	-24.49	-169.36	1.00
272.460938	-24.48	-169.20	1.00
275.390625	-24.48	-169.10	1.00
278.320312	-24.46	-169.00	1.00
281.250000	-24.46	-168.81	1.00
287.109375	-24.43	-168.62	1.00
292.968750	-24.48	-168.52	1.00
298.828125	-24.45	-168.42	1.00
304.687500	-24.42	-168.06	1.00
310.546875	-24.43	-167.93	1.00
316.406250	-24.41	-167.59	1.00
322.265625	-24.43	-167.49	1.00
328.125000	-24.39	-167.32	1.00
333.984375	-24.38	-167.01	1.00
339.843750	-24.37	-166.84	1.00
345.703125	-24.35	-166.65	1.00
351.562500	-24.36	-166.41	1.00
357.421875	-24.34	-166.26	1.00
363.281250	-24.32	-166.08	1.00
369.140625	-24.30	-165.83	1.00
375.000000	-24.31	-165.57	1.00
380.859375	-24.30	-165.42	1.00
386.718750	-24.28	-165.28	1.00
392.578125	-24.28	-165.12	1.00
398.437500	-24.26	-164.78	1.00
404.296875	-24.24	-164.62	1.00
410.156250	-24.24	-164.56	1.00
416.015625	-24.22	-164.38	1.00
421.875000	-24.24	-164.16	1.00
427.734375	-24.21	-163.86	1.00
433.593750	-24.19	-163.68	1.00
439.453125	-24.18	-163.47	1.00
445.312500	-24.18	-163.26	1.00
451.171875	-24.16	-163.04	1.00
457.031250	-24.14	-162.77	1.00
462.890625	-24.14	-162.64	1.00
468.750000	-24.12	-162.41	1.00
474.609375	-24.13	-162.21	1.00
480.468750	-24.11	-162.28	1.00
486.328125	-24.08	-161.94	1.00
492.187500	-24.09	-161.70	1.00
498.046875	-24.05	-161.61	1.00
503.906250	-24.05	-161.47	1.00
509.765625	-24.04	-161.10	1.00
515.625000	-24.04	-161.05	1.00
521.484375	-24.02	-160.83	1.00
527.343750	-24.01	-160.71	1.00
533.203125	-23.99	-160.48	1.00
539.062500	-23.98	-160.23	1.00
544.921875	-23.97	-160.11	1.00
550.781250	-23.97	-159.89	1.00
556.640625	-23.94	-159.70	1.00
562.500000	-23.93	-159.62	1.00
574.218750	-23.92	-159.34	1.00
585.937500	-23.84	-158.90	1.00
597.656250	-23.82	-158.40	1.00
609.375000	-23.80	-158.21	1.00
621.093750	-23.79	-157.62	1.00
632.812500	-23.71	-157.51	1.00
644.531250	-23.65	-157.13	1.00
656.250000	-23.69	-156.65	1.00
667.968750	-23.63	-156.30	1.00
679.687500	-23.62	-156.03	1.00
691.406250	-23.55	-155.34	1.00
703.125000	-23.55	-155.37	1.00
714.843750	-23.53	-154.96	1.00
726.562500	-23.50	-154.65	1.00
738.281250	-23.50	-154.50	1.00
750.000000	-23.41	-153.85	1.00
761.718750	-23.37	-153.84	1.00
773.437500	-23.38	-153.43	1.00
785.156250	-23.31	-152.84	1.00
796.875000	-23.30	-152.68	1.00
808.593750	-23.24	-152.63	1.00
820.312500	-23.24	-152.04	1.00
832.031250	-23.21	-151.87	1.00
843.750000	-23.13	-151.36	1.00
855.468750	-23.16	-151.22	1.00
867.187500	-23.08	-150.68	1.00
878.906250	-23.03	-150.75	1.00
890.625000	-23.01	-150.27	1.00
902.343750	-23.00	-149.95	1.00
914.062500	-22.94	-149.70	1.00
925.781250	-22.88	-149.39	1.00
937.500000	-22.87	-148.93	1.00
949.218750	-22.81	-148.93	1.00
960.937500	-22.77	-148.55	1.00
972.656250	-22.75	-148.55	1.00
984.375000	-22.70	-148.23	1.00
996.093750	-22.68	-147.86	1.00
1007.812500	-22.65	-147.67	1.00
1019.531250	-22.60	-147.27	1.00
1031.250000	-22.55	-146.89	1.00
1042.968750	-22.54	-146.93	1.00
1054.687500	-22.49	-146.64	1.00
1066.406250	-22.46	-146.31	1.00
1078.125000	-22.41	-145.89	1.00
1089.843750	-22.37	-145.76	1.00
1101.562500	-22.32	-145.42	1.00
1113.281250	-22.30	-145.13	1.00
1125.000000	-22.25	-144.84	1.00
1148.437500	-22.20	-144.36	1.00
1171.875000	-22.06	-143.98	1.00
1195.312500	-22.07	-143.36	1.00
1218.750000	-21.99	-143.42	1.00
1242.187500	-21.87	-142.52	1.00
1265.625000	-21.71	-142.04	1.00
1289.062500	-21.76	-142.06	1.00
1312.500000	-21.67	-141.44	1.00
1335.937500	-21.58	-141.31	1.00
1359.375000	-21.48	-140.56	1.00
1382.812500	-21.41	-140.43	1.00
1406.250000	-21.30	-139.95	1.00
1429.687500	-21.32	-139.14	1.00
1453.125000	-21.19	-139.04	1.00
1476.562500	-21.08	-138.41	1.00
1500.000000	-21.00	-138.17	1.00
1523.437500	-20.88	-137.80	1.00
1546.875000	-20.85	-137.52	1.00
1570.312500	-20.73	-137.38	1.00
1593.750000	-20.67	-137.06	1.00
1617.187500	-20.59	-137.03	1.00
1640.625000	-20.53	-136.37	1.00
1664.062500	-20.43	-135.84	1.00
1687.500000	-20.39	-136.10	1.00
1710.937500	-20.30	-135.45	1.00
1734.375000	-20.17	-135.29	1.00
1757.812500	-20.08	-135.06	1.00
1781.250000	-20.06	-134.57	1.00
1804.687500	-19.90	-134.39	1.00
1828.125000	-19.87	-134.48	1.00
1851.562500	-19.78	-133.75	1.00
1875.000000	-19.69	-133.85	1.00
1898.437500	-19.63	-133.44	1.00
1921.875000	-19.53	-133.30	1.00
1945.312500	-19.48	-132.89	1.00
1968.750000	-19.41	-132.81	1.00
1992.187500	-19.29	-132.45	1.00
2015.625000	-19.24	-132.31	1.00
2039.062500	-19.16	-132.16	1.00
2062.500000	-19.05	-132.00	1.00
2085.937500	-19.01	-131.93	1.00
2109.375000	-18.93	-131.76	1.00
2132.812500	-18.87	-131.28	1.00
2156.250000	-18.77	-131.19	1.00
2179.687500	-18.65	-131.10	1.00
2203.125000	-18.58	-131.17	1.00
2226.562500	-18.54	-130.96	1.00
2250.000000	-18.43	-130.81	1.00
2296.875000	-18.31	-130.31	1.00
2343.750000	-18.11	-130.05	1.00
2390.625000	-17.99	-129.86	1.00
2437.500000	-17.87	-129.67	1.00
2484.375000	-17.67	-129.36	1.00
2531.250000	-17.51	-129.28	1.00
2578.125000	-17.38	-128.92	1.00
2625.000000	-17.22	-128.96	1.00
2671.875000	-17.06	-128.82	1.00
2718.750000	-16.96	-128.66	1.00
2765.625000	-16.80	-128.52	1.00
2812.500000	-16.60	-128.40	1.00
2859.375000	-16.47	-128.39	1.00
2906.250000	-16.35	-128.52	1.00
2953.125000	-16.15	-128.24	1.00
3000.000000	-16.04	-128.28	1.00
3046.875000	-15.89	-127.98	1.00
3093.750000	-15.71	-128.25	1.00
3140.625000	-15.60	-128.17	1.00
3187.500000	-15.51	-128.25	1.00
3234.375000	-15.34	-128.27	1.00
3281.250000	-15.21	-128.35	1.00
3328.125000	-15.08	-128.31	1.00
3375.000000	-14.95	-128.54	1.00
3421.875000	-14.77	-128.19	1.00
3468.750000	-14.70	-128.66	1.00
3515.625000	-14.52	-128.73	1.00
3562.500000	-14.38	-128.84	1.00
3609.375000	-14.27	-129.11	1.00
3656.250000	-14.14	-129.09	1.00
3703.125000	-14.00	-129.46	1.00
3750.000000	-13.88	-129.24	1.00
3796.875000	-13.74	-129.58	1.00
3843.750000	-13.59	-130.28	1.00
3890.625000	-13.49	-130.18	1.00
3937.500000	-13.34	-130.34	1.00
3984.375000	-13.29	-130.83	1.00
4031.250000	-13.12	-130.95	1.00
4078.125000	-13.00	-131.09	1.00
4125.000000	-12.87	-131.53	1.00
4171.875000	-12.77	-131.83	1.00
4218.750000	-12.61	-132.08	1.00
4265.625000	-12.52	-132.32	1.00
4312.500000	-12.42	-132.66	1.00
4359.375000	-12.30	-133.14	1.00
4406.250000	-12.21	-133.48	1.00
4453.125000	-12.07	-133.91	1.00
4500.000000	-11.95	-134.30	1.00
4593.750000	-11.81	-134.56	1.00
4687.500000	-11.53	-135.96	1.00
4781.250000	-11.37	-136.78	1.00
4875.000000	-11.12	-137.54	1.00
4968.750000	-10.95	-138.36	1.00
5062.500000	-10.81	-139.31	1.00
5156.250000	-10.60	-140.58	1.00
5250.000000	-10.44	-141.24	1.00
5343.750000	-10.24	-142.41	1.00
5437.500000	-10.10	-143.65	1.00
5531.250000	-9.94	-144.78	1.00
5625.000000	-9.80	-145.83	1.00
5718.750000	-9.67	-146.70	1.00
5812.500000	-9.55	-148.11	1.00
5906.250000	-9.41	-149.33	1.00
6000.000000	-9.33	-150.66	1.00
6093.750000	-9.22	-151.57	1.00
6187.500000	-9.14	-152.85	1.00
6281.250000	-9.05	-153.85	1.00
6375.000000	-8.94	-155.47	1.00
6468.750000	-8.89	-156.61	1.00
6562.500000	-8.85	-157.84	1.00
6656.250000	-8.77	-158.86	1.00
6750.000000	-8.72	-160.13	1.00
6843.750000	-8.67	-161.34	1.00
6937.500000	-8.67	-162.59	1.00
7031.250000	-8.59	-163.69	1.00
7125.000000	-8.60	-164.62	1.00
7218.750000	-8.59	-166.01	1.00
7312.500000	-8.55	-166.90	1.00
7406.250000	-8.54	-168.15	1.00
7500.000000	-8.53	-169.15	1.00
7593.750000	-8.56	-170.30	1.00
7687.500000	-8.58	-171.13	1.00
7781.250000	-8.58	-172.44	1.00
7875.000000	-8.59	-173.44	1.00
7968.750000	-8.63	-174.14	1.00
8062.500000	-8.61	-175.01	1.00
8156.250000	-8.63	-176.05	1.00
8250.000000	-8.68	-176.91	1.00
8343.750000	-8.70	-177.69	1.00
8437.500000	-8.74	-178.47	1.00
8531.250000	-8.78	-179.28	1.00
8625.000000	-8.84	179.83	1.00
8718.750000	-8.86	179.03	1.00
8812.500000	-8.91	178.34	1.00
8906.250000	-8.94	177.64	1.00
9000.000000	-8.99	176.78	1.00
9187.500000	-9.06	175.65	1.00
9375.000000	-9.18	174.29	1.00
9562.500000	-9.28	173.21	1.00
9750.000000	-9.35	172.24	1.00
9937.500000	-9.43	171.19	1.00
10125.000000	-9.58	169.91	1.00
10312.500000	-9.65	169.03	1.00
10500.000000	-9.78	168.38	1.00
10687.500000	-9.83	167.49	1.00
10875.000000	-9.94	166.69	1.00
11062.500000	-10.06	165.84	1.00
11250.000000	-10.14	165.30	1.00
11437.500000	-10.23	164.57	1.00
11625.000000	-10.32	164.12	1.00
11812.500000	-10.43	163.39	1.00
12000.000000	-10.51	163.02	1.00
12187.500000	-10.58	162.34	1.00
12375.000000	-10.70	162.03	1.00
12562.500000	-10.75	161.35	1.00
12750.000000	-10.86	160.90	1.00
12937.500000	-10.94	160.60	1.00
13125.000000	-11.04	160.39	1.00
13312.500000	-11.09	159.78	1.00
13500.000000	-11.19	159.52	1.00
13687.500000	-11.22	159.10	1.00
13875.000000	-11.30	158.61	1.00
14062.500000	-11.40	158.52	1.00
14250.000000	-11.47	158.21	1.00
14437.500000	-11.54	157.83	1.00
14625.000000	-11.60	157.54	1.00
14812.500000	-11.67	157.36	1.00
15000.000000	-11.74	157.02	1.00
15187.500000	-11.82	156.84	1.00
15375.000000	-11.89	156.59	1.00
15562.500000	-11.93	156.41	1.00
15750.000000	-12.00	156.23	1.00
15937.500000	-12.06	155.88	1.00
16125.000000	-12.10	155.73	1.00
16312.500000	-12.18	155.51	1.00
16500.000000	-12.23	155.33	1.00
16687.500000	-12.29	155.09	1.00
16875.000000	-12.35	154.98	1.00
17062.500000	-12.39	154.78	1.00
17250.000000	-12.43	154.73	1.00
17437.500000	-12.50	154.53	1.00
17625.000000	-12.57	154.42	1.00
17812.500000	-12.60	154.30	1.00
18000.000000	-12.66	154.19	1.00
18187.500000	-12.70	153.96	1.00
18375.000000	-12.74	153.83	1.00
18562.500000	-12.79	153.69	1.00
18750.000000	-12.85	153.68	1.00
18937.500000	-12.90	153.47	1.00
19125.000000	-12.94	153.26	1.00
19312.500000	-13.00	153.15	1.00
19500.000000	-13.05	153.10	1.00
19687.500000	-13.08	153.00	1.00
19875.000000	-13.10	152.83	1.00
20062.500000	-13.15	152.82	1.00
20250.000000	-13.18	152.70	1.00
20437.500000	-13.23	152.59	1.00
20625.000000	-13.28	152.48	1.00
20812.500000	-13.32	152.43	1.00
21000.000000	-13.36	152.33	1.00
21187.500000	-13.40	152.20	1.00
21375.000000	-13.43	152.06	1.00
21562.500000	-13.47	151.95	1.00
21750.000000	-13.51	151.94	1.00
21937.500000	-13.54	151.85	1.00
22125.000000	-13.58	151.78	1.00
22312.500000	-13.60	151.60	1.00
22500.000000	-13.65	151.50	1.00
22687.500000	-13.68	151.52	1.00
22875.000000	-13.71	151.33	1.00
23062.500000	-13.75	151.31	1.00
23250.000000	-13.82	151.40	1.00
23437.500000	-14.00	152.16	1.00
23625.000000	-14.50	155.00	1.00
23812.500000	-15.44	161.74	0.99
